,sem1_temp_mean,sem1_rain_mean,sem2_temp_mean,sem2_rain_mean,travel_idx,bus,train,living_idx,crime_idx,inter_stu_ratio,gvi_idx,sdg_idx,sem1_temp_mean,sem1_rain_mean,sem2_temp_mean,sem2_rain_mean,travel_idx,bus,train
42,8.87,51.82,15.03,69.62,10.78,1,1,80.78,25.16,0.19,63.0,79.0,8.87,51.82,15.03,69.62,10.78,1,1
43,20.6125,76.625,19.54,54.56667,36.35,1,0,84.71,35.24,0.41,71.0,66.0,20.6125,76.625,19.54,54.56667,36.35,1,0
44,6.8,35.6,11.2,43.2,96.34,1,0,97.49,27.54,0.18,52.0,97.0,6.8,35.6,11.2,43.2,96.34,1,0
45,21.24,195.6,31.65,114.2,75.33,1,1,67.2,13.45,0.12,100.0,73.07692307692308,21.24,195.6,31.65,114.2,75.33,1,1
46,14.42,76.64,11.75,91.81667,60.62,1,0,78.47,28.46,0.22,83.98795180722891,74.0,14.42,76.64,11.75,91.81667,60.62,1,0
47,12.3,28.2,10.60833,43.33333,55.05,1,1,47.82,33.87,0.06,83.98795180722891,56.0,12.3,28.2,10.60833,43.33333,55.05,1,1
48,8.38,42.92,5.8,13.8143,98.85,1,1,46.7,26.44,0.1,78.0,81.0,8.38,42.92,5.8,13.8143,98.85,1,1
49,23.1,42.16,22.03,70.44,79.32,1,0,39.97,49.79,0.23041176470588234,89.0,50.0,23.1,42.16,22.03,70.44,79.32,1,0
50,14.76667,77.33333,8.3,12.0429,17.84,1,0,74.49,41.14,0.23041176470588234,78.0,86.0,14.76667,77.33333,8.3,12.0429,17.84,1,0
51,14.175,103.2167,6.39286,10.0857,4.29,1,0,72.81,30.5,0.08,78.0,86.0,14.175,103.2167,6.39286,10.0857,4.29,1,0
52,28.38,161.4,28.09,204.86,94.0,1,0,85.59,32.98,0.24,83.98795180722891,54.0,28.38,161.4,28.09,204.86,94.0,1,0
53,11.01,37.62,14.63,39.8,56.1,1,1,65.71,29.42,0.15,92.0,79.0,11.01,37.62,14.63,39.8,56.1,1,1
54,9.89,35.62,8.87,23.48,61.38,0,1,52.43,24.16,0.22,81.0,81.0,9.89,35.62,8.87,23.48,61.38,0,1
55,8.39,69.14,14.11,81.1,2.11,1,0,68.86,59.41,0.09,92.0,63.0,8.39,69.14,14.11,81.1,2.11,1,0
56,5.416667,49.83333,13.0,66.8,5.21,0,1,81.02,46.43,0.13,81.0,95.0,5.416667,49.83333,13.0,66.8,5.21,0,1
57,8.166667,61.53333,10.2,75.2,16.23,1,1,70.79,59.56,0.24,86.0,81.0,8.166667,61.53333,10.2,75.2,16.23,1,1
58,-4.0375,68.85,4.0,81.575,12.99,1,0,76.96,30.87,0.23041176470588234,97.0,73.0,-4.0375,68.85,4.0,81.575,12.99,1,0
59,4.9625,83.175,12.95,80.78,17.71,1,0,63.64,48.37,0.23041176470588234,92.0,63.0,4.9625,83.175,12.95,80.78,17.71,1,0
60,14.125,74.125,14.617,57.167,60.42,1,1,74.49,40.49,0.16,78.0,86.0,14.125,74.125,14.617,57.167,60.42,1,1
61,5.666667,41.66667,7.583,57.0,18.67,1,0,80.38,31.94,0.23041176470588234,81.0,95.0,5.666667,41.66667,7.583,57.0,18.67,1,0
62,14.65,53.775,7.4213,8.9,11.21,1,1,41.14,72.52,0.23,78.0,86.0,14.65,53.775,7.4213,8.9,11.21,1,1
63,11.35,86.16,15.74,87.66,79.75,1,0,79.53,44.19,0.08,92.0,63.0,11.35,86.16,15.74,87.66,79.75,1,0
64,11.025,68.43333,9.11,82.52,89.94,0,1,83.65,43.56,0.23041176470588234,94.0,74.0,11.025,68.43333,9.11,82.52,89.94,0,1
65,20.5875,145.875,12.95833,109.9333,69.66,1,1,91.34,23.29,0.05,86.0,78.0,20.5875,145.875,12.95833,109.9333,69.66,1,1
66,12.3625,90.125,14.4875,112.925,57.06,1,0,67.49,50.11,0.11,92.0,79.0,12.3625,90.125,14.4875,112.925,57.06,1,0
67,8.87,51.82,15.03,69.62,51.42,1,1,86.8,33.68,0.14,63.0,79.0,8.87,51.82,15.03,69.62,51.42,1,1
68,8.17,90.36,13.72,95.44,40.5,1,0,68.86,59.41,0.23041176470588234,92.0,63.0,8.17,90.36,13.72,95.44,40.5,1,0
69,14.73,124.26,18.8,107.6,50.82,0,0,62.67,74.81,0.23041176470588234,92.0,63.0,14.73,124.26,18.8,107.6,50.82,0,0
70,4.99,92.24,9.75,96.2,57.98,1,1,89.29,35.52,0.23041176470588234,92.0,63.0,4.99,92.24,9.75,96.2,57.98,1,1
71,4.416667,84.66667,7.52,140.6,77.24,1,0,107.95,43.45,0.23041176470588234,78.0,87.0,4.416667,84.66667,7.52,140.6,77.24,1,0
72,21.55833,39.8,20.63,91.92,65.17,1,0,35.0,62.19,0.23041176470588234,89.0,50.0,21.55833,39.8,20.63,91.92,65.17,1,0
73,21.55833,39.8,20.63,91.92,65.17,1,0,35.0,62.19,0.23041176470588234,89.0,50.0,21.55833,39.8,20.63,91.92,65.17,1,0
74,20.75,118.2,23.75,127.45,48.32,1,1,79.94,21.73,0.25,83.98795180722891,56.0,20.75,118.2,23.75,127.45,48.32,1,1
75,14.175,103.2167,6.39286,10.0857,84.53,1,1,82.01,17.65,0.33,78.0,86.0,14.175,103.2167,6.39286,10.0857,84.53,1,1
76,17.05833,64.0,13.34167,48.0,2.8,1,1,47.82,33.87,0.23041176470588234,83.98795180722891,56.0,17.05833,64.0,13.34167,48.0,2.8,1,1
77,10.94167,81.6,4.9,56.16667,92.71,1,1,78.56,25.56,0.23041176470588234,71.0,87.0,10.94167,81.6,4.9,56.16667,92.71,1,1
78,6.683333,45.83333,7.29,50.6,98.55,1,1,36.35,38.77,0.11,71.0,61.0,6.683333,45.83333,7.29,50.6,98.55,1,1
79,14.1125,62.375,6.778571,8.871429,13.49,1,0,72.81,30.5,0.23041176470588234,78.0,86.0,14.1125,62.375,6.778571,8.871429,13.49,1,0
80,14.875,57.125,7.878571,8.814286,72.76,1,1,75.63,41.88,0.23041176470588234,78.0,86.0,14.875,57.125,7.878571,8.814286,72.76,1,1
81,23.68333,140.4,13.3417,82.2,80.28,1,1,85.53,29.87,0.04,86.0,78.0,23.68333,140.4,13.3417,82.2,80.28,1,1
82,5.19,48.0,-0.01,56.0,10.03,1,1,41.146,38.77,0.36,71.0,61.0,5.19,48.0,-0.01,56.0,10.03,1,1
83,20.75,118.2,23.75,127.45,48.32,1,1,79.94,21.73,0.56,83.98795180722891,56.0,20.75,118.2,23.75,127.45,48.32,1,1
84,22.875,174.4333,14.5786,7.1743,63.56,1,1,97.94,29.87,0.12,86.0,78.0,22.875,174.4333,14.5786,7.1743,63.56,1,1
85,22.38,43.78,19.01667,76.93333,86.74,1,0,35.0,62.19,0.0,89.0,50.0,22.38,43.78,19.01667,76.93333,86.74,1,0
86,20.5875,145.875,18.66,111.14,69.66,1,0,91.34,23.29,0.23041176470588234,86.0,78.0,20.5875,145.875,18.66,111.14,69.66,1,0
87,20.5875,145.875,18.66,111.14,69.66,1,1,91.34,23.29,0.15,86.0,78.0,20.5875,145.875,18.66,111.14,69.66,1,1
88,16.26,53.42,19.54,21.9,52.14,1,1,81.92,48.41,0.23041176470588234,92.0,63.0,16.26,53.42,19.54,21.9,52.14,1,1
89,8.38,90.6,7.225,79.0,95.68,1,1,135.49,16.4,0.22,81.0,82.0,8.38,90.6,7.225,79.0,95.68,1,1
90,12.3,28.2,10.60833,43.33333,55.05,1,1,47.82,33.87,0.19,83.98795180722891,56.0,12.3,28.2,10.60833,43.33333,55.05,1,1
91,22.38333,160.2667,15.07857,7.071429,69.66,1,1,91.34,23.29,0.05,86.0,78.0,22.38333,160.2667,15.07857,7.071429,69.66,1,1
